gtype,gid,gname,pid,seq,dtype,URL DB DATA,비고
WB,011,음란사이트,01,001,1,nz.nz-jp.com/~freak,
WB,011,음란사이트,01,001,1,ok888.11.com.tw,
WB,011,음란사이트,01,001,1,person.zj.cninfo.net/~dj,
WB,011,음란사이트,01,001,1,pic.u-v-u.com,
WB,011,음란사이트,01,001,1,prv.hymen.adultbouncer.com,
WB,011,음란사이트,01,001,1,r60zxm8r-8-6.abby.nu,
WB,011,음란사이트,01,001,1,real.gaysexnation.com,
WB,011,음란사이트,01,001,1,red.lesbianpicture.com,
WB,011,음란사이트,01,001,1,saint.pornports.com,
WB,011,음란사이트,01,001,1,secretdesire.xxx-shot.com,
WB,011,음란사이트,01,001,1,selena.world-politics.com,
WB,011,음란사이트,01,001,1,serioushardcoreporn.com,
WB,011,음란사이트,01,001,1,sexsex.asian-worlds.com,
WB,011,음란사이트,01,001,1,shop.gayromance.com,
WB,011,음란사이트,01,001,1,simplygay.dildodan.com,
WB,011,음란사이트,01,001,1,solair.eunet.yu/~palotay,
WB,011,음란사이트,01,001,1,solair.eunet.yu/~urosh,
WB,011,음란사이트,01,001,1,sweetloads.majorhost.com,
WB,011,음란사이트,01,001,1,sweetloads.xplaces.net,
WB,011,음란사이트,01,001,1,tgp.legendarylars.com,
WB,011,음란사이트,01,001,1,tom-katt-nude-1028.abby.nu,
WB,011,음란사이트,01,001,1,tvsexy.co.kr,
WB,011,음란사이트,01,001,1,twa.scubb.com,
WB,011,음란사이트,01,001,1,u2axxrux-8-2.abby.nu,
WB,011,음란사이트,01,001,1,ura-dvdshop.com,
WB,011,음란사이트,01,001,1,web.inter.nl.net/hcc/spicky,
WB,011,음란사이트,01,001,1,web.inter.nl.net/users/f.d.alink,
WB,011,음란사이트,01,001,1,web.inter.nl.net/users/n.leeuwis,
WB,011,음란사이트,01,001,1,web.inter.nl.net/users/tweeram,
WB,011,음란사이트,01,001,1,www.1pc.net,
WB,011,음란사이트,01,001,1,www.1pun.com,
WB,011,음란사이트,01,001,1,www.1pun.net,
WB,011,음란사이트,01,001,1,www.2bhadult.net,
WB,011,음란사이트,01,001,1,www.366love.com,
WB,011,음란사이트,01,001,1,www.4badboys.com,
WB,011,음란사이트,01,001,1,www.aat.mtci.ne.jp/~aripyon,
WB,011,음란사이트,01,001,1,www.at.asian-bikini.com,
WB,011,음란사이트,01,001,1,www.ata.com.ua,
WB,011,음란사이트,01,001,1,www.bad4u.com,
WB,011,음란사이트,01,001,1,www.d9.dion.ne.jp/~mari_ken,
WB,011,음란사이트,01,001,1,www.db4ad.com,
WB,011,음란사이트,01,001,1,www.dduk-girl.com,
WB,011,음란사이트,01,001,1,www.dduk-girls.com,
WB,011,음란사이트,01,001,1,www.dduk-sex.com,
WB,011,음란사이트,01,001,1,www.dduk4you.com,
WB,011,음란사이트,01,001,1,www.ddukchon.com,
WB,011,음란사이트,01,001,1,www.ddukking.com,
WB,011,음란사이트,01,001,1,www.dduklive.co.kr,
WB,011,음란사이트,01,001,1,www.dduklive.com,
WB,011,음란사이트,01,001,1,www.dduklive.net,
WB,011,음란사이트,01,001,1,www.ddukswingers.com,
WB,011,음란사이트,01,001,1,www.dgtv.com,
WB,011,음란사이트,01,001,1,www.dha114.co.kr,
WB,011,음란사이트,01,001,1,www.drstrangelove.com,
WB,011,음란사이트,01,001,1,www.ellnet.com,
WB,011,음란사이트,01,001,1,www.excla-fucking-large-big-tits-sex.com,
WB,011,음란사이트,01,001,1,www.exclaim1-penis-enlargement.com,
WB,011,음란사이트,01,001,1,www.exclamate-1-anal-sex-fuck-pics-xxx-video,
WB,011,음란사이트,01,001,1,www.exclamate-hardcore-nude-women-pregnant,
WB,011,음란사이트,01,001,1,www.exclamatea-dcupadultpornostarsnudefreepornsexpics.com,
WB,011,음란사이트,01,001,1,www.exclamatenudeteenpornxxxsexpics.com,
WB,011,음란사이트,01,001,1,www.exclamation-1-amateur-nude-women.com,
WB,011,음란사이트,01,001,1,www.exclamation-1-free-erotic-sex-stories.com,
WB,011,음란사이트,01,001,1,www.exclusiveamateurvideos.com,
WB,011,음란사이트,01,001,1,www.exclusiveanimevids.com,
WB,011,음란사이트,01,001,1,www.exclusivebabe.com,
WB,011,음란사이트,01,001,1,www.exclusivebdsm.com,
WB,011,음란사이트,01,001,1,www.exclusiveblondes.com,
WB,011,음란사이트,01,001,1,www.exclusivebondage.com,
WB,011,음란사이트,01,001,1,www.exclusivecelebporn.com,
WB,011,음란사이트,01,001,1,www.exclusiveclub.com,
WB,011,음란사이트,01,001,1,www.exclusivecontent.com,
WB,011,음란사이트,01,001,1,www.exclusivegals.com,
WB,011,음란사이트,01,001,1,www.exclusivehardcore.com,
WB,011,음란사이트,01,001,1,www.exclusivelinks.com,
WB,011,음란사이트,01,001,1,www.exclusively.co.uk,
WB,011,음란사이트,01,001,1,www.exclusively4adults.com,
WB,011,음란사이트,01,001,1,www.exclusively4affiliates.com,
WB,011,음란사이트,01,001,1,www.exclusively4free.com,
WB,011,음란사이트,01,001,1,www.exclusivelyporn.com,
WB,011,음란사이트,01,001,1,www.exclusivelyteens.com,
WB,011,음란사이트,01,001,1,www.exclusivepix.com,
WB,011,음란사이트,01,001,1,www.exclusivepix.net,
WB,011,음란사이트,01,001,1,www.exclusiveporn.net,
WB,011,음란사이트,01,001,1,www.exclusiveporn.nl,
WB,011,음란사이트,01,001,1,www.exclusivepornpics.com,
WB,011,음란사이트,01,001,1,www.exclusivepornstars.com,
WB,011,음란사이트,01,001,1,www.exclusivereview.com,
